國家,name,2019年12月,2020年1月,2020年2月,2020年3月,經度,緯度,代碼
日本,Japan,"3,193","3,218","2,925",936,35.6804,139.769,392
南韓,Korea,"1,214","1,293",941,76,37.5665,126.978,410
越南,Vietnam,877,"1,019",910,358,21.0278,105.8342,704
中國大陸,China,"2,379","2,439",589,401,39.9042,116.4074,156
香港,Hongkong,"1,655","1,664",555,145,22.3193,114.1694,344
泰國,Thailand,582,601,543,263,15.87,100.9925,764
美國,Usa,496,498,454,338,38.9072,-77.0369,840
菲律賓,Philippines,570,575,358,194,14.5995,120.9842,608
新加坡,Singapore,399,386,344,173,1.3521,103.8198,702
馬來西亞,Malaysia,341,335,314,168,3.139,101.6869,458
印尼,Indonesia,143,155,134,95,-6.2088,106.8456,360
澳門,Macao,562,595,131,44,22.1987,113.5439,446
澳大利亞,Australia,128,129,100,70,-35.2809,149.13,36
加拿大,Canada,116,113,100,96,45.4215,-75.6972,124
